,url,title,abstract,date
0,http://www.hurriyet.com.tr/gundem/kahvehaneye-silahli-saldiri-2-kardes-oldu-41069302,Kahvehane önünde silahlı saldırı: 2 kardeş öldü,"Kocaeli'nin Derince ilçesinde, bir kahvehanenin önünde silahlı saldırıya uğrayan 2 kardeş yaşamını yitirdi.",31.12.2018
1,http://www.hurriyet.com.tr/gundem/korkunc-olay-o-goruntuler-ortaya-cikti-41069165,Korkunç olay... O görüntüler ortaya çıktı,"Hatay'ın Antakya ilçesinde çöp konteynerinin yanına bırakılan çuvalda kadın cesedi bulundu, gözaltına alınan katil zanlısının çuvalı yolda sürüklemesi güvenlik kamerasına yansıdı.
",31.12.2018
2,http://www.hurriyet.com.tr/gundem/hataydaki-vahsette-yeni-gelisme-41068969,Hatay'daki vahşette yeni gelişme,"HATAY’da çöp konteynerinin yanına bırakılan çuvaldan, evlere temizliğe giderek geçimini sağlayan Gülüstan A.’nın (37) el ve ayakları bağlı cesedi çıktı. Cinayet zanlısı olarak İ.U. (51) gözaltına alındı.",31.12.2018
3,http://www.hurriyet.com.tr/gundem/sessiz-konus-diyerek-tokat-atan-arkadasini-oldurdu-41068920,"'Sessiz konuş' diyerek, tokat atan arkadaşını öldürdü","KARAMAN'da birlikte alkol aldığı arkadaşı Muzaffer Yılmaz'ı(24) göğsünden bıçaklayarak öldürdüğü suçlamasıyla gözaltına alınan Samet Bulduk (19) adliyeye sevk edildi. Bulduk'un ilk ifadesinde, birlikte alkol aldığı Yılmaz'ı, telefonda konuştuğu sırada ""Sessiz konuş"" diyerek, tokat attığı için bıçakladığını söylediği öğrenildi.

",31.12.2018
4,http://www.hurriyet.com.tr/gundem/keserken-muzik-dinler-kahvemi-icerim-41068240,"Keserken müzik dinler, kahvemi içerim","Başlıktaki kan dondurucu sözler, Cemal Kaşıkçı’nın cesedini parçalara ayıran Adli Tıpçı Tubeyki’ye ait. Cinayetin ses kaydı ilk kez bir kitapla gün yüzüne çıktı. ‘Diplomatik Vahşet’i araştırmacı gazeteciler Abdurrahman Şimşek, Ferhat Ünlü ve Nazif Karaman kaleme aldı. Kitapta, timin infaz hazırlığı, Cemal Kaşıkçı’nın son nefesini verirken attığı çığlık, cesedin parça parça edilmesi ve beş valizle rezidansa taşınmasının ayrıntıları var. Yazarlarıyla buluştuk, bütün boyutlarıyla ‘Diplomatik Vahşet’i konuştuk.

",31.12.2018
5,http://www.hurriyet.com.tr/gundem/hatayda-vahset-tesadufen-buldular-bir-kisi-bayildi-41068323,"Hatay'da vahşet! Tesadüfen buldular, bir kişi bayıldı...",Hatay’da gece saatlerinde çöp toplayan temizlik personellerin konteynırın yanında gördükleri çuvaldan kadın cesedi çıktı. Elleri ve ayakları bağlandığı belirlenen kadının üzerinden kimlik çıkmadı. Cesedi fark eden temizlik personeli olay yerinde fenalaşınca tedavi altına alındı.,31.12.2018
6,http://www.hurriyet.com.tr/gundem/konyada-korkunc-olay-agabeyinin-cesediyle-41068014,Konya'da korkunç olay! Ağabeyinin cesediyle...,"KONYA’nın Karapınar ilçesinde kavga ettiği ağabeyi Dursun Pekşen’i (33) boğazından bıçaklayarak öldürüp, cesedini bahçedeki tuvaletin yanına kazdığı çukura gömdüğünü iddiasıyla gözaltına alınan Mustafa Pekşen (28), adliyeye sevk edildi. Mustafa Pekşen’in, cinayetin ardından ağabeyinin cesediyle 2 gün aynı odada kaldığı ortaya çıktı.",30.12.2018
7,http://www.hurriyet.com.tr/gundem/agabeyini-oldurup-tuvalete-gommus-41067703,Karakola gidip teslim oldu... Kan donduran itiraf ,"KARAMAN'da, jandarmaya giden Mustafa P. (26), Konya'nın Karapınar ilçesindeki ağabeyi Duran P.'yi 3 gün önce silahla (33) öldürüp, cesedini evin tuvaletine gömdüğünü söyleyerek, teslim oldu. Duran P.'nin cesedi ise gömüldüğü yerden çıkarılıp, otopsi için Adli Tıp Kurumu'na kaldırıldı.",30.12.2018
8,http://www.hurriyet.com.tr/gundem/arkadasina-dehseti-yasatti-41067435,Arkadaşına dehşeti yaşattı,"ANTALYA’da, telefonda tartışıp, evinin önünde buluştuğu eski iş arkadaşı Fevzi Gürün’ü (34) bıçaklayarak öldüren Erkan Büyükdeğirmenci, tutuklandı.",29.12.2018
9,http://www.hurriyet.com.tr/gundem/gecen-yil-dunya-ikincisi-olmustu-sevgilisi-odullu-sporcuyu-oldurup-intihar-etti-41067262,Geçen yıl dünya ikincisi olmuştu... Sevgilisi ödüllü sporcuyu öldürüp intihar etti,"İzmir'de vücut geliştirmede geçen yıl kainat 2'ncisi olan Pınar Çoban (31), sevgilisi Ferhan Sarıçam (38) tarafından tabancayla vurularak öldürüldü. Sarıçam, Çoban'ı öldürdükten sonra aynı tabancayı kafasına ateşleyerek yaşamına son verdi.",29.12.2018
