,url,title,abstract,date
0,http://www.hurriyet.com.tr/gundem/hedefteki-isimler-27870494,Hedefteki isimler,"Hürriyet’in, 13 Aralık’ta eski Emniyet Genel Müdür Yardımcısı Emin Arslan’ı ‘İBDA-C lideri diye dinlemişler’ başlığı ile gündeme getirdiği dinlemelere, önceki gün de yenileri eklendi. Ankara’da HSYK Başmüfettişi Ali Rıza Karakan tarafından yürütülen telekulak soruşturması kapsamında dinleme kararını veren mahkemenin arşivinden ortaya çıkan yeni bilgiler basına yansıdı.",30.12.2014
1,http://www.hurriyet.com.tr/gundem/luks-villada-vahsi-cinayet-27868925,Lüks villada vahşi cinayet,"BEYKOZ’da Lüks villaların bulunduğu bir sitede ayrı evlerde çalışan Türkmenistan uyruklu iki kadın hizmetçinin 2 bin dolar borç yüzünden kavgası vahşi bir cinayetle sonlandı. Kadın hizmetçilerden biri, diğerini bıçaklayarak öldürdükten sonra çalıştığı 3 katlı tripleks villanın banyosunda parçaladı. Ev sahipleri yukarda uyurken gerçekleşen parçalama işleminin ardından ceset parçalarını önce poşete daha sonra bavula koyan şüpheli, bir taksiyle götürdüğü Zekeriyaköy ormanlık alana attı. Cinayet, kadın hizmetçinin cesedi yok etmesi için yardım istediği sevgilisinin polise başvurması sonucu ortaya çıktı. Cinayete kurban giden talihsiz kadının gazeteci Mehmet Barlas'ın oğlu Cemil Barlas'ın evinde çalıştığı öğrenildi.",30.12.2014
2,http://www.hurriyet.com.tr/gundem/hocadan-hamile-kaldim-27864024,‘Hocadan hamile kaldım’,Konya’da geçen 2 Haziran’da Selçuk Üniversitesi Mühendislik Fakültesi Kimya Mühendisliği Bölümü öğretim üyesi Doç. Dr. Celalettin Özdemir’i (42) duygusal ilişki yaşadığı sekreter Asuman E.’ye ilgi duyduğu gerekçesiyle üniversitedeki odasında bıçaklayarak öldürdüğü suçlamasıyla tutuklanan bölüm başkanı Prof. Dr. Ahmet Gülce’nin yargılanmasına başlandı.,30.12.2014
3,http://www.hurriyet.com.tr/gundem/2014-turkiye-uyusturucu-raporunda-korkutucu-rakam-27852252,2014 Türkiye uyuşturucu raporunda korkutucu rakam,"TÜRKİYE’NİN uyuşturucu raporunda, uyuşturucu kullanımı ve bağımlılığının 2014 yılında yüzde 17 arttığına dikkat çekildi. Son dönemlerde gündeme gelen bonzai kullanımı ise yüzde 38 arttı. Raporda, 2014 yılında 648 kişinin doğrudan veya dolaylı olarak uyuşturucuya bağlı hayatını kaybettiği yer alırken bir diğer korkunç gerçek ise  13 yaşında bir çocuğun uyuşturucudan ölmesi...",27.12.2014
4,http://www.hurriyet.com.tr/gundem/halime-ile-meryem-in-katili-ayni-kisi-27853691,Halime ile Meryem’in katili aynı kişi,"Babasının 4 eşinden biri olan Halime Çalışkan’ı öldürüp 100 bin liralık altınlarla kaçtığı sanılan 17 yaşındaki Meryem’in de aynı gün cinayete kurban gittiği ortaya çıktı. Polis, asıl katilleri arıyor.",27.12.2014
5,http://www.hurriyet.com.tr/gundem/kastamonuda-cinayet-27852589,Kastamonu'da cinayet,Kastamonu'nun Taşköprü ilçesinde kahvehanede tabancayla vurulan kişi öldü.,27.12.2014
6,http://www.hurriyet.com.tr/gundem/cinayet-zanlisi-saklandigi-evde-yakalandi-27850607,Cinayet zanlısı saklandığı evde yakalandı,"Hatay'ın Dörtyol ilçesinde bir kişinin tüfekle öldürülmesi olayına karıştığı iddia edilen zanlı, saklandığı evde yakalandı.",27.12.2014
7,http://www.hurriyet.com.tr/gundem/oglunu-oldurdu-komsusunu-yaraladi-27849849,Oğlunu öldürdü komşusunu yaraladı,"SİVAS’ta 59 yaşındaki Necati Özkan, kendisiyle tartışan oğlu 33 yaşındaki İlhan Özkan’ı tabancayla öldürdü. Özkan, aralarına girerek kavgayı ayırmak isteyen komşuları 49 yaşındaki Ziya Polat’ı da omuzundan yaralandı.",27.12.2014
8,http://www.hurriyet.com.tr/gundem/istinye-katilleri-beyaz-bereliler-27849285,İstinye katilleri ‘beyaz bereliler’,Uyuşturucu ticaretine bulaştığı iddia edilen Ali Ekber Akgün’ü (40) çarşamba günü öğle saatlerinde otomobili içinde kurşunladıktan sonra kaçan iki kişi hâlâ bulunamadı.,26.12.2014
9,http://www.hurriyet.com.tr/gundem/bosanmak-isteyen-esini-olduren-ese-muebbet-27847874,Boşanmak isteyen eşini öldüren eşe müebbet,"KOCAELİ’nin Gölcük İlçesi’nde Ekim ayında şiddetli geçimsizlik nedeniyle boşanma davası açan 13 yıllık eşi 42 yaşındaki Ayşe Zorlu’yu bıçaklayarak öldüren, cinayetten sonra fare zehiri içerek intihara kalkışan 45 yaşındaki Cevdet Zorlu, ömür boyu hapis cezasına çarptırıldı.",26.12.2014
10,http://www.hurriyet.com.tr/gundem/konyada-bicakli-kavga-1-olu-27845246,Konya'da bıçaklı kavga: 1 ölü,"KONYA’da iki grup arasında küfürleşme nedeniyle çıkan bıçaklı kavgada 1 kişi öldü, 1 kişi yaralandı, 4 kişi gözaltına alındı.",26.12.2014
11,http://www.hurriyet.com.tr/gundem/karar-indirimsiz-agir-ceza-27826773,Karar ‘indirimsiz ağır’ ceza,"ANTALYA’nın Alanya ilçesindeki Euro 5 Sitesi’nde geçen ağustosta daire kiralayan Peter Horvath (65) ve eşi Kerstin Horvath’ın (50) öldürülmesiyle ilgili davanın tutuklu sanıkları Tarkan Cengiz (37) ile Murat Çetin, Alanya 1’inci Ağır Ceza Mahkemesi’nde karar duruşmasına çıktı.",25.12.2014
