,url,title,abstract,date
0,http://www.hurriyet.com.tr/gundem/muhendis-cinayetinde-eski-sevgili-tutuklandi-40034093,Mühendis cinayetinde eski sevgili tutuklandı,"İstanbul'da&nbsp;geçen perşembe sabahı öldürülen, İzmit Körfez Geçiş Köprüsü şantiye mühendisi Murat Usluoğlu’nun 5 aylık eşi İlkay Usluoğlu gözaltına alındı. ",30.12.2015
1,http://www.hurriyet.com.tr/gundem/muhendisin-katil-zanlisi-yakalandi-40033548,Mühendisin katil zanlısı yakalandı,"Gaziosmanpaşa'da 32 yaşındaki mühendis Murat Usluoğlu'nu öldürdüğü iddia edilen İlhan D. gözaltına alındı. Bir mobilya dükkanında müdür olarak çalıştığı öğrenilen İlhan D.'nin, Murat Usluoğlu'nun 5 ay önce evlendiği eşinin eski erkek arkadaşı olduğu ortaya çıktı.&nbsp;",29.12.2015
2,http://www.hurriyet.com.tr/gundem/ortakoyde-denizde-cesedi-bulunan-4-yasindaki-cocuk-suriyeli-cikti-40033544,Ortaköy’de denizde cesedi bulunan 4 yaşındaki çocuk Suriyeli çıktı,"İstanbul Ortaköy'de sabah saatlerinde denizde cesedi bulunan 4 yaşındaki erkek çocuğun kimliği tespit edildi. Suriyeli bir ailenin oğlu olduğu öğrenilen 4 yaşındaki Metin Faysal’ın 16 Aralık’tan beri kayıp olarak arandığı ortaya çıktı. Polis, 4 yaşındaki minik yavrunun nasıl öldüğünü araştırıyor.",29.12.2015
3,http://www.hurriyet.com.tr/gundem/arkadasini-bicakladi-hastane-onune-birakip-kacti-40033268,Arkadaşını bıçakladı hastane önüne bırakıp kaçtı,"İzmir'in Torbalı ilçesinde, arkadaşının bıçaklı saldırısına uğrayan daha sonra hastane önüne bırakılan bir genç kan kaybından hayatını kaybetti. ",29.12.2015
4,http://www.hurriyet.com.tr/gundem/katledip-aramis-40032648,Katledip ‘aramış’,"TOKAT’ta yaşayan bir çocuk annesi Yasemin Doğan (30) ağustos ayında kaybolunca, eşi Faruk Doğan (39) ve yakınları polise başvurdu. ",27.12.2015
5,http://www.hurriyet.com.tr/gundem/esini-oldurup-cesedini-sandik-icinde-ormanlik-alana-atmis-40032561,"Eşini öldürüp, cesedini sandık içinde ormanlık alana atmış","TOKAT’ta 4 aydır kayıp olarak aranan 1 çocuk annesi 30 yaşındaki Yasemin Doğan’ın, eşi 39 yaşındaki Faruk Doğan tarafından öldürüldüğü ortaya çıktı. Suçunu itiraf eden Faruk Doğan’ın verdiği bilgiler doğrultusunda, eşinin kemikleri ormanlık alanda ormanlık alanda sandık içerisinde bulundu.",27.12.2015
6,http://www.hurriyet.com.tr/gundem/24-yildir-dinmeyen-aci-40032488,24 yıldır dinmeyen acı,"Avcılar’da 24 yıl önce iş çıkışı evine dönerken kimliği tespit edilemeyen bir kişi tarafından bayıltılan ve tecavüze uğradıktan sonra öldürülen 5 aylık hamile 23 yaşındaki Gülsevin Buket A’nın annesi Nazire Değirmenci, yasal süre içerisinde dosya aydınlatılamayınca 'Faili meçhul’ kaldığı için kapatıldığına dair kendilerine yazı gönderildiğini söyledi. Anne Değirmenci, savcılığın kapatılan dosyanın yeniden açılmasını istedi.",27.12.2015
7,http://www.hurriyet.com.tr/gundem/katil-iscisi-cikti-40032423,Katil işçisi çıktı,"İstanbul Kağıthane'de siren ve çakar sistemi monte eden şirkette yönetici olan Gökhan Arıcan (35) önceki akşam saat 20.30 sıralarında, Hamidiye Mahallesi Selçuklu Caddesi üzerinde bir otomobilin içinde ensesinden vurulmuş olarak bulundu. ",26.12.2015
8,http://www.hurriyet.com.tr/gundem/luks-otomobil-cinayetinde-onemli-gelisme-40032332,'Lüks otomobil' cinayetinde önemli gelişme,"Dün İstanbul Kağıthane'de yaşanan lüks makam otomobili cinayetinde yeni gelişmeler ortaya çıkıyor. Olay sonrası gözaltına alınan Gürkan A.'nın iş arkadaşı Ercan P. cinayeti itiraf etti. Ercan P. ifadesinde “Gürkan A. ile 3 yıldır birlikte çalışıyorduk. Benim ondan habersiz iş yaptığımı söyleyince aramız bozuldu. Olay günü bunu konuşurken silahımı çektim. Elime davranınca silah patladı“ dedi. Şüpheli ayrıca ölen Gürkan A.'nın eşiyle aralarında 6 aydır devam eden duygusal bir yakınlaşma olduğunu iddia ettiği öğrenildi. Gürkan A., eşi ve katil zanlısı ile cinayetten birkaç saat önce birarada oldukları ortaya çıktı.",26.12.2015
9,http://www.hurriyet.com.tr/gundem/cinayeti-tapu-kayitlari-ortaya-cikardi-40032273,Cinayeti tapu kayıtları ortaya çıkardı,"Mersin'de evinde ölü bulunan Abdullah Şahin'le ilgili soruşturmayı yürüten polis, Şahin'e ait gayrimenkullerin aralarında kan bağı bulunmayan üçüncü kişilere geçirildiğini belirledi. Gözaltına alınan Şahin'in imam nikahlı eşi ve eşinin arkadaşları polis sorgusunda cinayeti itiraf ettiler.",26.12.2015
